kalimat,cleaned,hasil_label_transformer
Aplikasi yang digunakan memiliki tampilan standar bagi pengguna lama pada versi terbaru,aplikasi yang digunakan memiliki tampilan standar bagi pengguna lama pada versi terbaru,Netral
Platform digital ini memberikan pengalaman yang memuaskan bagi pengguna baru di perangkat Android,platform digital ini memberikan pengalaman yang memuaskan bagi pengguna baru di perangkat android,Positif
Aplikasi yang digunakan menyediakan menu utama bagi pengguna aplikasi dalam kondisi normal,aplikasi yang digunakan menyediakan menu utama bagi pengguna aplikasi dalam kondisi normal,Netral
Layanan aplikasi berjalan sangat lambat bagi pengguna dalam kondisi normal,layanan aplikasi berjalan sangat lambat bagi pengguna dalam kondisi normal,Negatif
Aplikasi ini meningkatkan produktivitas bagi tim kerja pada versi terbaru,aplikasi ini meningkatkan produktivitas bagi tim kerja pada versi terbaru,Positif
Platform digital ini berjalan sangat lambat bagi pengguna aplikasi di perangkat iOS,platform digital ini berjalan sangat lambat bagi pengguna aplikasi di perangkat ios,Negatif
Layanan aplikasi sulit untuk digunakan bagi pengguna aplikasi secara umum,layanan aplikasi sulit untuk digunakan bagi pengguna aplikasi secara umum,Negatif
Aplikasi ini tersedia untuk pengguna bagi pengguna baru,aplikasi ini tersedia untuk pengguna bagi pengguna baru,Netral
Aplikasi ini bermasalah saat dijalankan bagi tim kerja secara umum,aplikasi ini bermasalah saat dijalankan bagi tim kerja secara umum,Negatif
Layanan aplikasi responsif saat dijalankan bagi pengguna aplikasi pada versi terbaru,layanan aplikasi responsif saat dijalankan bagi pengguna aplikasi pada versi terbaru,Positif
Aplikasi yang digunakan tersedia di berbagai platform bagi saya di perangkat iOS,aplikasi yang digunakan tersedia di berbagai platform bagi saya di perangkat ios,Netral
Aplikasi yang digunakan sering mengalami gangguan bagi pengguna saat digunakan secara rutin,aplikasi yang digunakan sering mengalami gangguan bagi pengguna saat digunakan secara rutin,Negatif
Aplikasi ini berjalan dengan sangat baik bagi pengguna lama,aplikasi ini berjalan dengan sangat baik bagi pengguna lama,Positif
Aplikasi ini memudahkan pekerjaan bagi pengguna baru saat digunakan secara rutin,aplikasi ini memudahkan pekerjaan bagi pengguna baru saat digunakan secara rutin,Positif
Platform digital ini tidak berjalan dengan baik bagi pengguna lama dalam kondisi normal,platform digital ini tidak berjalan dengan baik bagi pengguna lama dalam kondisi normal,Negatif
Layanan aplikasi menyediakan menu utama bagi pengguna aplikasi saat digunakan secara rutin,layanan aplikasi menyediakan menu utama bagi pengguna aplikasi saat digunakan secara rutin,Netral
Platform digital ini dapat digunakan bagi pengguna,platform digital ini dapat digunakan bagi pengguna,Netral
Layanan aplikasi sering mengalami gangguan bagi pengguna lama dalam penggunaan sehari-hari,layanan aplikasi sering mengalami gangguan bagi pengguna lama dalam penggunaan seharihari,Negatif
Aplikasi yang digunakan berjalan sangat lambat bagi pengguna baru,aplikasi yang digunakan berjalan sangat lambat bagi pengguna baru,Negatif
Platform digital ini responsif saat dijalankan bagi pengguna lama pada versi terbaru,platform digital ini responsif saat dijalankan bagi pengguna lama pada versi terbaru,Positif
Aplikasi yang digunakan berjalan sangat lambat bagi tim kerja secara umum,aplikasi yang digunakan berjalan sangat lambat bagi tim kerja secara umum,Negatif
Aplikasi ini sulit untuk digunakan bagi pengguna lama di perangkat Android,aplikasi ini sulit untuk digunakan bagi pengguna lama di perangkat android,Negatif
Aplikasi ini memiliki tampilan standar bagi saya pada versi terbaru,aplikasi ini memiliki tampilan standar bagi saya pada versi terbaru,Netral
Aplikasi yang digunakan mudah digunakan bagi pengguna aplikasi dalam penggunaan sehari-hari,aplikasi yang digunakan mudah digunakan bagi pengguna aplikasi dalam penggunaan seharihari,Positif
Aplikasi ini berjalan sesuai fungsi dasar bagi pengguna lama di perangkat Android,aplikasi ini berjalan sesuai fungsi dasar bagi pengguna lama di perangkat android,Netral
Aplikasi mobile ini berjalan sesuai fungsi dasar bagi tim kerja di perangkat Android,aplikasi mobile ini berjalan sesuai fungsi dasar bagi tim kerja di perangkat android,Netral
Aplikasi ini tersedia di berbagai platform bagi tim kerja di perangkat Android,aplikasi ini tersedia di berbagai platform bagi tim kerja di perangkat android,Netral
Layanan aplikasi mudah digunakan bagi pengguna baru secara umum,layanan aplikasi mudah digunakan bagi pengguna baru secara umum,Positif
Aplikasi mobile ini berjalan sesuai fungsi dasar bagi tim kerja dalam penggunaan sehari-hari,aplikasi mobile ini berjalan sesuai fungsi dasar bagi tim kerja dalam penggunaan seharihari,Netral
Sistem aplikasi memiliki tampilan standar bagi pengguna baru saat digunakan secara rutin,sistem aplikasi memiliki tampilan standar bagi pengguna baru saat digunakan secara rutin,Netral
Layanan aplikasi meningkatkan produktivitas bagi pengguna baru pada versi terbaru,layanan aplikasi meningkatkan produktivitas bagi pengguna baru pada versi terbaru,Positif
Aplikasi yang digunakan memiliki tampilan standar bagi pengguna saat digunakan secara rutin,aplikasi yang digunakan memiliki tampilan standar bagi pengguna saat digunakan secara rutin,Netral
Aplikasi ini berjalan sangat lambat bagi pengguna baru secara umum,aplikasi ini berjalan sangat lambat bagi pengguna baru secara umum,Negatif
Aplikasi ini sangat berguna bagi pengguna lama dalam penggunaan sehari-hari,aplikasi ini sangat berguna bagi pengguna lama dalam penggunaan seharihari,Positif
Aplikasi mobile ini menyediakan menu utama bagi saya pada versi terbaru,aplikasi mobile ini menyediakan menu utama bagi saya pada versi terbaru,Netral
Aplikasi yang digunakan memberikan pengalaman yang memuaskan bagi saya,aplikasi yang digunakan memberikan pengalaman yang memuaskan bagi saya,Positif
Sistem aplikasi tidak responsif bagi tim kerja pada versi terbaru,sistem aplikasi tidak responsif bagi tim kerja pada versi terbaru,Negatif
Platform digital ini tidak responsif bagi pengguna baru dalam penggunaan sehari-hari,platform digital ini tidak responsif bagi pengguna baru dalam penggunaan seharihari,Negatif
Aplikasi yang digunakan berjalan sesuai fungsi dasar bagi pengguna aplikasi di perangkat iOS,aplikasi yang digunakan berjalan sesuai fungsi dasar bagi pengguna aplikasi di perangkat ios,Netral
Platform digital ini dapat digunakan bagi pengguna dalam penggunaan sehari-hari,platform digital ini dapat digunakan bagi pengguna dalam penggunaan seharihari,Netral
Platform digital ini memiliki tampilan standar bagi saya dalam kondisi normal,platform digital ini memiliki tampilan standar bagi saya dalam kondisi normal,Netral
Aplikasi yang digunakan memudahkan pekerjaan bagi saya,aplikasi yang digunakan memudahkan pekerjaan bagi saya,Positif
Aplikasi ini digunakan oleh banyak pengguna bagi pengguna secara umum,aplikasi ini digunakan oleh banyak pengguna bagi pengguna secara umum,Netral
Layanan aplikasi memiliki performa yang stabil bagi pengguna saat digunakan secara rutin,layanan aplikasi memiliki performa yang stabil bagi pengguna saat digunakan secara rutin,Positif
