kalimat,label
Sistem aplikasi memiliki beberapa fitur bagi pengguna lama dalam penggunaan sehari-hari,Netral
Aplikasi ini memiliki tampilan standar bagi pengguna,Netral
Layanan aplikasi tersedia di berbagai platform bagi saya dalam penggunaan sehari-hari,Netral
Sistem aplikasi berjalan dengan sangat baik bagi pengguna dalam kondisi normal,Positif
Aplikasi ini tersedia untuk pengguna bagi pengguna baru dalam penggunaan sehari-hari,Netral
Aplikasi yang digunakan sulit untuk digunakan bagi pengguna lama saat digunakan secara rutin,Negatif
Platform digital ini menghambat pekerjaan bagi pengguna lama secara umum,Negatif
Aplikasi ini sering mengalami gangguan bagi saya secara umum,Negatif
Layanan aplikasi menyediakan menu utama bagi pengguna aplikasi dalam kondisi normal,Netral
Aplikasi ini tidak berjalan dengan baik bagi pengguna aplikasi pada versi terbaru,Negatif
Aplikasi yang digunakan responsif saat dijalankan bagi pengguna,Positif
Aplikasi ini berjalan dengan sangat baik bagi pengguna aplikasi dalam kondisi normal,Positif
Aplikasi mobile ini menyediakan menu utama bagi pengguna lama pada versi terbaru,Netral
Sistem aplikasi meningkatkan produktivitas bagi tim kerja dalam kondisi normal,Positif
Layanan aplikasi digunakan oleh banyak pengguna bagi saya,Netral
Aplikasi yang digunakan menyediakan layanan digital bagi saya di perangkat iOS,Netral
Aplikasi yang digunakan tidak berjalan dengan baik bagi pengguna dalam kondisi normal,Negatif
Aplikasi ini bermasalah saat dijalankan bagi pengguna aplikasi dalam penggunaan sehari-hari,Negatif
Aplikasi yang digunakan sering mengalami gangguan bagi pengguna dalam kondisi normal,Negatif
Aplikasi yang digunakan meningkatkan produktivitas bagi pengguna secara umum,Positif
Layanan aplikasi berfungsi dengan optimal bagi pengguna pada versi terbaru,Positif
Layanan aplikasi digunakan untuk kebutuhan tertentu bagi pengguna pada versi terbaru,Netral
Aplikasi yang digunakan memberikan pengalaman yang memuaskan bagi pengguna lama dalam penggunaan sehari-hari,Positif
Layanan aplikasi tidak responsif bagi pengguna di perangkat Android,Negatif
Aplikasi ini memiliki beberapa fitur bagi pengguna aplikasi secara umum,Netral
Aplikasi ini memudahkan pekerjaan bagi tim kerja pada versi terbaru,Positif
Aplikasi mobile ini memiliki tampilan standar bagi pengguna aplikasi di perangkat iOS,Netral
Sistem aplikasi memiliki banyak bug bagi pengguna secara umum,Negatif
Aplikasi yang digunakan tidak responsif bagi pengguna aplikasi saat digunakan secara rutin,Negatif
Sistem aplikasi tidak responsif bagi pengguna lama secara umum,Negatif
Aplikasi mobile ini berjalan sesuai fungsi dasar bagi pengguna lama di perangkat Android,Netral
Sistem aplikasi tersedia untuk pengguna bagi saya dalam penggunaan sehari-hari,Netral
Layanan aplikasi sangat membantu bagi pengguna aplikasi pada versi terbaru,Positif
Layanan aplikasi sangat berguna bagi pengguna baru,Positif
Layanan aplikasi tersedia di berbagai platform bagi saya,Netral
Layanan aplikasi berjalan sesuai fungsi dasar bagi pengguna aplikasi pada versi terbaru,Netral
Aplikasi ini sulit untuk digunakan bagi pengguna aplikasi dalam kondisi normal,Negatif
Aplikasi yang digunakan meningkatkan produktivitas bagi pengguna baru di perangkat iOS,Positif
Aplikasi mobile ini menghambat pekerjaan bagi pengguna aplikasi di perangkat Android,Negatif
Aplikasi yang digunakan mengecewakan pengguna bagi pengguna dalam penggunaan sehari-hari,Negatif
Sistem aplikasi sangat membantu bagi pengguna dalam kondisi normal,Positif
Aplikasi ini bermasalah saat dijalankan bagi pengguna di perangkat Android,Negatif
Platform digital ini tidak berjalan dengan baik bagi pengguna baru dalam kondisi normal,Negatif
Aplikasi ini mudah digunakan bagi pengguna aplikasi secara umum,Positif
Platform digital ini tersedia untuk pengguna bagi tim kerja di perangkat Android,Netral
Aplikasi mobile ini memiliki performa yang stabil bagi saya di perangkat Android,Positif
Aplikasi yang digunakan memiliki performa yang stabil bagi tim kerja dalam penggunaan sehari-hari,Positif
Aplikasi ini memiliki banyak bug bagi pengguna aplikasi di perangkat iOS,Negatif
Aplikasi yang digunakan meningkatkan produktivitas bagi saya secara umum,Positif
Platform digital ini berjalan dengan sangat baik bagi tim kerja dalam penggunaan sehari-hari,Positif
Aplikasi yang digunakan memberikan pengalaman yang memuaskan bagi saya saat digunakan secara rutin,Positif
Sistem aplikasi responsif saat dijalankan bagi pengguna di perangkat iOS,Positif
Aplikasi yang digunakan tersedia untuk pengguna bagi pengguna baru secara umum,Netral
Aplikasi ini meningkatkan produktivitas bagi pengguna saat digunakan secara rutin,Positif
Sistem aplikasi mudah digunakan bagi pengguna baru di perangkat Android,Positif
Layanan aplikasi tersedia di berbagai platform bagi tim kerja saat digunakan secara rutin,Netral
Aplikasi ini berjalan sangat lambat bagi pengguna aplikasi saat digunakan secara rutin,Negatif
Aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi tim kerja,Netral
Aplikasi yang digunakan responsif saat dijalankan bagi saya dalam penggunaan sehari-hari,Positif
Platform digital ini memiliki banyak bug bagi pengguna baru di perangkat iOS,Negatif
Platform digital ini mengecewakan pengguna bagi tim kerja di perangkat iOS,Negatif
Aplikasi yang digunakan dapat digunakan bagi pengguna aplikasi pada versi terbaru,Netral
Aplikasi mobile ini responsif saat dijalankan bagi tim kerja di perangkat iOS,Positif
Aplikasi mobile ini memiliki tampilan standar bagi tim kerja dalam kondisi normal,Netral
Sistem aplikasi menyediakan layanan digital bagi pengguna aplikasi dalam kondisi normal,Netral
Aplikasi yang digunakan memberikan pengalaman yang memuaskan bagi pengguna aplikasi dalam kondisi normal,Positif
Aplikasi ini sering mengalami gangguan bagi pengguna secara umum,Negatif
Aplikasi ini tidak berjalan dengan baik bagi saya secara umum,Negatif
Aplikasi mobile ini memiliki tampilan standar bagi saya di perangkat Android,Netral
Sistem aplikasi sangat membantu bagi saya secara umum,Positif
Sistem aplikasi memiliki performa yang stabil bagi pengguna baru di perangkat Android,Positif
Sistem aplikasi memudahkan pekerjaan bagi saya secara umum,Positif
Aplikasi yang digunakan tersedia di berbagai platform bagi pengguna lama,Netral
Aplikasi ini tidak berjalan dengan baik bagi pengguna baru dalam kondisi normal,Negatif
Aplikasi yang digunakan berjalan dengan sangat baik bagi pengguna lama secara umum,Positif
Platform digital ini memiliki performa yang stabil bagi pengguna aplikasi dalam penggunaan sehari-hari,Positif
Aplikasi yang digunakan tidak berjalan dengan baik bagi saya secara umum,Negatif
Aplikasi ini meningkatkan produktivitas bagi pengguna baru di perangkat iOS,Positif
Aplikasi mobile ini memberikan pengalaman yang memuaskan bagi saya,Positif
Layanan aplikasi sangat berguna bagi tim kerja di perangkat iOS,Positif
Sistem aplikasi tidak responsif bagi pengguna lama dalam kondisi normal,Negatif
Layanan aplikasi menghambat pekerjaan bagi tim kerja di perangkat Android,Negatif
Layanan aplikasi sulit untuk digunakan bagi tim kerja di perangkat Android,Negatif
Aplikasi yang digunakan sulit untuk digunakan bagi tim kerja di perangkat iOS,Negatif
Platform digital ini bermasalah saat dijalankan bagi tim kerja secara umum,Negatif
Layanan aplikasi mudah digunakan bagi pengguna lama secara umum,Positif
Sistem aplikasi tidak responsif bagi pengguna secara umum,Negatif
Aplikasi ini berfungsi dengan optimal bagi pengguna aplikasi dalam penggunaan sehari-hari,Positif
Sistem aplikasi berjalan dengan sangat baik bagi pengguna baru pada versi terbaru,Positif
Aplikasi ini mengecewakan pengguna bagi pengguna lama di perangkat iOS,Negatif
Aplikasi yang digunakan menyediakan menu utama bagi pengguna lama secara umum,Netral
Aplikasi yang digunakan menyediakan menu utama bagi pengguna aplikasi pada versi terbaru,Netral
Aplikasi mobile ini tersedia di berbagai platform bagi pengguna dalam kondisi normal,Netral
Sistem aplikasi menyediakan layanan digital bagi pengguna aplikasi di perangkat Android,Netral
Layanan aplikasi sulit untuk digunakan bagi tim kerja pada versi terbaru,Negatif
Platform digital ini tidak berjalan dengan baik bagi saya secara umum,Negatif
Platform digital ini berjalan sesuai fungsi dasar bagi pengguna aplikasi,Netral
Aplikasi mobile ini mudah digunakan bagi pengguna aplikasi saat digunakan secara rutin,Positif
Aplikasi yang digunakan berjalan sangat lambat bagi saya saat digunakan secara rutin,Negatif
Platform digital ini sering mengalami gangguan bagi saya dalam penggunaan sehari-hari,Negatif
Layanan aplikasi berfungsi dengan optimal bagi pengguna lama,Positif
Sistem aplikasi responsif saat dijalankan bagi pengguna lama dalam kondisi normal,Positif
Layanan aplikasi berjalan sangat lambat bagi saya dalam kondisi normal,Negatif
Platform digital ini berfungsi dengan optimal bagi pengguna lama secara umum,Positif
Platform digital ini sering mengalami error bagi pengguna baru secara umum,Negatif
Platform digital ini berjalan dengan sangat baik bagi tim kerja di perangkat Android,Positif
Platform digital ini menyediakan layanan digital bagi pengguna aplikasi dalam kondisi normal,Netral
Aplikasi yang digunakan memiliki performa yang stabil bagi pengguna aplikasi pada versi terbaru,Positif
Aplikasi yang digunakan menghambat pekerjaan bagi pengguna aplikasi di perangkat iOS,Negatif
Layanan aplikasi mudah digunakan bagi tim kerja dalam penggunaan sehari-hari,Positif
Aplikasi ini memudahkan pekerjaan bagi saya pada versi terbaru,Positif
Layanan aplikasi tidak responsif bagi pengguna baru dalam kondisi normal,Negatif
Sistem aplikasi digunakan untuk kebutuhan tertentu bagi pengguna baru,Netral
Aplikasi ini dapat digunakan bagi pengguna aplikasi di perangkat Android,Netral
Layanan aplikasi memiliki tampilan standar bagi pengguna aplikasi,Netral
Platform digital ini menyediakan layanan digital bagi pengguna baru di perangkat iOS,Netral
Layanan aplikasi tersedia untuk pengguna bagi pengguna baru saat digunakan secara rutin,Netral
Layanan aplikasi mengecewakan pengguna bagi pengguna baru di perangkat Android,Negatif
